time_s,demand_MW,actual_MW,q_kg_s,T1_C,T2_C,T3_C,T4_C,T5_C
1860,18.0,17.913006082031917,46.25391340464102,548.2818024059044,517.3081549815195,455.60508080848155,373.2773057008064,311.16301680396066
1870,18.0,17.89934948330304,46.25391340464102,548.0854917608076,516.937583671083,455.1173158658609,372.91690918485807,311.0478315700381
1880,18.0,17.88562017555344,46.25391340464102,547.8881319688568,516.566346738189,454.6303503930169,372.5579689671644,310.93326879005895
1890,18.0,17.871818323520827,46.25391340464102,547.6897253851931,516.1944529500465,454.1441880278795,372.20047986723034,310.8193249999627
1900,18.0,17.85794409460003,46.25391340464102,547.4902744034692,515.8219110414211,453.6588323562906,371.84443671680356,310.7059967555643
1910,18.0,17.84399765881328,46.25391340464102,547.2897814554208,515.4487297145333,453.1742869123957,371.489834359907,310.59328063243635
1920,18.0,17.829979188780722,46.25391340464102,547.0882490104395,515.0749176389588,452.6905551790342,371.13666765287047,310.48117322579236
1930,18.0,17.815888859691,46.25391340464102,546.8856795751491,514.7004834515316,452.20764058812694,370.78493146436136,310.3696711503706
1940,18.0,17.801726849271994,46.25391340464102,546.6820756929818,514.3254357562502,451.72554652106146,370.43462067541464,310.25877104031844
1950,18.0,17.787493337761727,46.25391340464102,546.4774399437587,513.9497831241866,451.2442763090754,370.085730179462,310.1484695490777
1960,18.0,17.773188507879368,46.25391340464102,546.2717749432701,513.5735340933982,450.7638332336373,369.7382548823602,310.0387633492706
1970,18.0,17.75881254479643,46.25391340464102,546.0650833428598,513.1966971688418,450.28422052682515,369.39218970241865,309.92964913258646
1980,18.0,17.744365636108014,46.25391340464102,545.85736782901,512.8192808222914,449.8054413717032,369.04752957042626,309.82112360966886
1990,18.0,17.729847971804325,46.25391340464102,545.6486311229284,512.4412934922577,449.3274989026958,368.7042694296774,309.7131835100038
2000,18.0,17.715259744242182,46.25391340464102,545.4388759801383,512.0627435839111,448.85039620596,368.36240423599736,309.60582558180806
2010,18.0,17.7006011481168,46.25391340464102,545.2281051900696,511.6836394690063,448.37413631975494,368.02192895776653,309.4990465919192
2020,18.0,17.685872380433633,46.25391340464102,545.0163215756525,511.3039894858107,447.8987222348099,367.6828385759446,309.39284332568485
2030,18.0,17.67107364048036,46.25391340464102,544.8035279929124,510.92380193903443,447.4241568946896,367.3451280840932,309.2872125868541
2040,18.0,17.656205129799048,46.25391340464102,544.5897273305684,510.5430850997635,446.9504431961578,367.00879248839857,309.18215119746833
2050,18.0,17.64126705215844,46.25391340464102,544.3749225096318,510.1618472053952,446.47758398953835,366.6738268076931,309.07765599775365
2060,18.0,17.626259613526404,46.25391340464102,544.1591164830085,509.78009645957593,446.0055820790745,366.340226073476,308.9737238460133
2070,18.0,17.611183022042468,46.25391340464102,543.9423122351022,509.39784103214186,445.5344402232856,366.0079853299337,308.87035161852117
2080,18.0,17.59603748799055,46.25391340464102,543.7245127814206,509.01508905906155,445.0641611353223,365.67709963395936,308.76753620941577
2090,18.0,17.580823223771798,46.25391340464102,543.5057211681822,508.6318486423814,444.5947474833189,365.3475640551716,308.66527453059473
2100,18.0,17.991978036978608,47.37728421559808,543.2859404719269,508.2481278501731,444.1262018907442,365.0193736759326,308.56356351161037
2110,18.0,17.97589749803479,47.37728421559808,543.0601797517979,507.85482768904984,443.64732664719577,364.6845482173759,308.4597815462774
2120,18.0,17.959743791232412,47.37728421559808,542.833387757124,507.4610395955608,443.16936511739,364.3511225441261,308.3565729859925
